# time  Id  DTNHost  true/false
1015.0000 M466 19 true
1015.0000 M462 19 true
1015.0000 M469 19 true
1015.0000 M453 19 true
1023.0000 M436 6 true
1023.0000 M455 6 true
1023.0000 M427 6 true
1027.0000 M482 13 true
1027.0000 M483 13 true
1027.0000 M429 13 true
1027.0000 M461 13 true
1027.0000 M440 13 true
1030.0000 M458 0 true
1030.0000 M475 0 true
1030.0000 M470 0 true
1030.0000 M434 0 true
1030.0000 M486 0 true
1030.0000 M460 0 true
1030.0000 M488 0 true
1036.0000 M475 9 true
1036.0000 M437 9 true
1036.0000 M470 9 true
1036.0000 M430 9 true
1036.0000 M446 9 true
1036.0000 M428 9 true
1036.0000 M486 9 true
1036.0000 M488 9 true
1038.0000 M487 11 true
1038.0000 M489 11 true
1038.0000 M467 11 true
1038.0000 M479 2 true
1038.0000 M465 2 true
1038.0000 M495 2 true
1038.0000 M458 2 true
1038.0000 M492 2 true
1038.0000 M496 2 true
1038.0000 M451 2 true
1038.0000 M445 2 true
1038.0000 M485 2 true
1038.0000 M443 2 true
1039.0000 M477 5 true
1039.0000 M439 5 true
1040.0000 M459 1 true
1040.0000 M458 1 true
1040.0000 M495 1 true
1040.0000 M499 1 true
1040.0000 M496 1 true
1040.0000 M488 1 true
1040.0000 M442 1 true
1040.0000 M414 1 true
1043.0000 M474 18 true
1043.0000 M473 18 true
1043.0000 M450 18 true
1043.0000 M453 18 true
1043.0000 M449 18 true
1043.0000 M462 18 true
1043.0000 M444 18 true
1045.0000 M472 15 true
1045.0000 M502 15 true
1045.0000 M501 15 true
1045.0000 M480 15 true
1045.0000 M464 15 true
1045.0000 M448 15 true
1046.0000 M482 12 true
1046.0000 M461 12 true
1046.0000 M468 12 true
1046.0000 M491 12 true
1046.0000 M490 12 true
1047.0000 M476 17 true
1047.0000 M493 17 true
1047.0000 M450 17 true
1047.0000 M453 17 true
1047.0000 M478 17 true
1047.0000 M449 17 true
1047.0000 M441 17 true
1063.0000 M466 10 true
1063.0000 M467 10 true
1063.0000 M505 10 true
1063.0000 M487 10 true
1063.0000 M489 10 true
1064.0000 M481 7 true
1064.0000 M484 7 true
1070.0000 M497 3 true
1070.0000 M526 3 true
1070.0000 M485 3 true
1070.0000 M510 3 true
1075.0000 M470 8 true
1075.0000 M506 8 true
1075.0000 M519 8 true
1075.0000 M531 8 true
1075.0000 M491 8 true
1079.0000 M476 16 true
1079.0000 M471 16 true
1079.0000 M529 16 true
1079.0000 M525 16 true
1079.0000 M530 16 true
1079.0000 M494 16 true
1083.0000 M504 6 true
1087.0000 M528 13 true
1087.0000 M502 13 true
1087.0000 M501 13 true
1087.0000 M512 13 true
1087.0000 M527 19 true
1087.0000 M532 19 true
1087.0000 M498 19 true
1087.0000 M515 19 true
1087.0000 M516 19 true
1096.0000 M500 9 true
1096.0000 M542 9 true
1096.0000 M537 9 true
1096.0000 M535 9 true
1096.0000 M531 9 true
1098.0000 M526 2 true
1098.0000 M521 2 true
1098.0000 M534 2 true
1098.0000 M543 2 true
1099.0000 M544 5 true
1099.0000 M510 5 true
1103.0000 M551 18 true
1103.0000 M541 18 true
1103.0000 M561 18 true
1103.0000 M533 18 true
1104.0000 M543 1 true
1104.0000 M496 0 true
1104.0000 M542 0 true
1104.0000 M563 0 true
1104.0000 M537 0 true
1105.0000 M529 15 true
1105.0000 M520 15 true
1105.0000 M560 15 true
1105.0000 M511 15 true
1106.0000 M550 12 true
1106.0000 M509 12 true
1106.0000 M556 12 true
1106.0000 M528 12 true
1106.0000 M506 12 true
1106.0000 M504 12 true
1106.0000 M545 12 true
1106.0000 M514 12 true
1106.0000 M518 12 true
1107.0000 M557 17 true
1107.0000 M555 17 true
1107.0000 M522 17 true
1107.0000 M547 17 true
1107.0000 M539 17 true
1121.0000 M570 11 true
1121.0000 M575 11 true
1121.0000 M563 11 true
1121.0000 M505 11 true
1121.0000 M540 11 true
1121.0000 M580 11 true
1121.0000 M513 11 true
1123.0000 M573 10 true
1123.0000 M563 10 true
1123.0000 M569 10 true
1123.0000 M537 10 true
1123.0000 M549 10 true
1123.0000 M546 10 true
1130.0000 M559 3 true
1135.0000 M572 8 true
1135.0000 M571 8 true
1135.0000 M579 8 true
1140.0000 M439 4 true
1140.0000 M577 4 true
1140.0000 M463 4 true
1140.0000 M465 4 true
1140.0000 M562 4 true
1140.0000 M420 4 true
1140.0000 M566 4 true
1140.0000 M497 4 true
1140.0000 M559 4 true
1140.0000 M510 4 true
1142.0000 M554 7 true
1142.0000 M553 7 true
1142.0000 M524 7 true
1142.0000 M538 7 true
1142.0000 M536 7 true
1142.0000 M531 7 true
1143.0000 M576 16 true
1143.0000 M562 16 true
1143.0000 M567 16 true
1144.0000 M554 6 true
1144.0000 M559 6 true
1144.0000 M591 6 true
1144.0000 M592 6 true
1144.0000 M548 6 true
1144.0000 M586 6 true
1144.0000 M533 6 true
1147.0000 M578 13 true
1147.0000 M593 13 true
1147.0000 M556 13 true
1147.0000 M605 13 true
1147.0000 M565 13 true
1147.0000 M583 13 true
1149.0000 M472 14 true
1149.0000 M578 14 true
1149.0000 M528 14 true
1149.0000 M523 14 true
1149.0000 M565 14 true
1149.0000 M461 14 true
1149.0000 M456 14 true
1149.0000 M394 14 true
1149.0000 M409 14 true
1149.0000 M598 14 true
1149.0000 M595 14 true
1149.0000 M508 14 true
1149.0000 M593 14 true
1149.0000 M454 14 true
1149.0000 M556 14 true
1149.0000 M502 14 true
1149.0000 M503 14 true
1149.0000 M501 14 true
1149.0000 M507 14 true
1149.0000 M605 14 true
1149.0000 M482 14 true
1149.0000 M483 14 true
1149.0000 M447 14 true
1149.0000 M586 14 true
1149.0000 M581 14 true
1149.0000 M583 14 true
1149.0000 M512 14 true
1149.0000 M410 14 true
1149.0000 M517 14 true
1149.0000 M415 14 true
1156.0000 M604 9 true
1156.0000 M568 9 true
1158.0000 M617 2 true
1158.0000 M558 2 true
1158.0000 M603 2 true
1159.0000 M577 5 true
1159.0000 M566 5 true
1159.0000 M610 5 true
1159.0000 M559 5 true
1159.0000 M600 5 true
1163.0000 M606 18 true
1163.0000 M589 18 true
1163.0000 M609 18 true
1165.0000 M576 15 true
1165.0000 M578 15 true
1165.0000 M565 15 true
1165.0000 M567 15 true
1165.0000 M584 15 true
1168.0000 M599 1 true
1168.0000 M597 1 true
1168.0000 M601 1 true
1172.0000 M564 19 true
